id,trialNum,time,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,robotCondition,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,timeout,failed_images,failed_audio,failed_video,question_order,view_history,trial,saliencyRobot,saliencyLabel,promptRobot,promptLabel,imgNum,buttonOrder,sal,buttonPaths,responseCompare,robotCompare,labelCompare
debugpb2JU:debugPLyS9,0,1656464760904,1666,"<p class=""important""><strong>Debugging: </strong>Press any key to start experiment.</p><p>Condition: 0 <br> robotCondition: same. </p>",,html-keyboard-response,0,1668,0.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,browser-check,1,2665,0.0-1.0,0,same,1536,779,TRUE,chrome,103.0.0,FALSE,Mac OS,TRUE,60.52,FALSE,TRUE,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,browser-check,2,3680,0.0-2.0,0,same,1536,779,TRUE,chrome,103.0.0,FALSE,Mac OS,TRUE,59.98,FALSE,TRUE,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,NA,NA,,preload,3,5317,0.0-3.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,1857,NA,,survey-multi-choice,4,7176,0.0-4.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,2557,NA,,survey-text,5,9740,0.0-5.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,6550,NA,,instructions,6,16291,0.0-6.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA
debugpb2JU:debugPLyS9,0,1656464760904,2864,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_6.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div></div>",,html-button-response,7,19157,0.0-7.0-0.0-0.0,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,safe,robot1,safe,6,,/static/stimuli/ax_sal_6.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,3449,"<p><span>Zubo <i class=""fa-brands fa-android robot2  inline-icon""></i></span> thinks the image is <span>toxic <i class=""fa-solid fa-biohazard toxic  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_7.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-brands fa-android robot2 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,8,22607,0.0-7.0-0.0-0.1,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot2,toxic,robot2,toxic,7,,/static/stimuli/ax_sal_7.svg,,same,sameRobot,same
debugpb2JU:debugPLyS9,0,1656464760904,4516,"<p><span>Aike <i class=""fa-solid fa-robot robot1  inline-icon""></i></span> thinks the image is <span>safe <i class=""fa-solid fa-seedling safe  inline-icon""></i></span> and tells us where it is looking at.</p><div class=""robot-label-img""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-seedling safe fa-stack-1x""></i></span></div><img src=/static/stimuli/ax_sal_8.svg ></div><div class=""prompt""><div class=""stack-img""><i class=""fa-solid fa-robot robot1 fa-3x stack-img-robot""></i><span class=""fa-stack fa-2x stack-img-bubble""><i class=""fa-solid fa-comment fa-stack-2x""></i><i class=""fa-solid fa-biohazard toxic fa-stack-1x""></i></span></div></div>",,html-button-response,9,27125,0.0-7.0-0.0-0.2,0,same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,practice,robot1,safe,robot1,toxic,8,,/static/stimuli/ax_sal_8.svg,,opp,sameRobot,opp
